year,name,team,era,game,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3
2020,구창모,NC,1.55,13,9,0,1.0,8,54,6,17,,99,17,15,0.82,12,324,1266,0.178,11,0
2020,스트레일리,롯데,2.04,18,7,3,0.7,1,85,6,30,,116,31,26,1.0,12,453,1817,0.207,13,0
2020,요키시,키움,2.12,17,10,3,0.769,1,92,6,17,,65,32,25,1.03,14,416,1525,0.232,17,3
2020,브룩스,KIA,2.6,17,7,4,0.636,1,98,3,21,,90,33,32,1.08,11,434,1634,0.241,16,0
2020,알칸타라,두산,2.72,17,10,1,0.909,1,102,8,17,,98,35,33,1.09,15,442,1754,0.246,21,1
2020,루친스키,NC,2.88,17,11,2,0.846,1,94,8,34,,91,36,34,1.2,14,441,1713,0.238,8,0
2020,임찬규,LG,3.71,15,8,4,0.667,8,77,8,32,,82,39,35,1.28,5,362,1457,0.238,17,0
2020,문승원,SK,3.73,16,3,7,0.3,9,88,10,23,,76,43,39,1.18,9,387,1456,0.247,21,0
2020,윌슨,LG,3.86,16,6,6,0.5,9,97,7,33,,71,49,40,1.39,11,406,1519,0.267,13,1
2020,가뇽,KIA,3.86,15,6,4,0.6,8,78,2,33,,81,42,36,1.32,6,365,1477,0.245,19,5
2020,뷰캐넌,삼성,3.87,16,9,6,0.6,1,101,10,27,,63,47,44,1.25,10,423,1678,0.262,11,2
2020,데스파이네,KT,4.03,19,10,5,0.667,1,126,10,32,,95,55,52,1.36,11,498,1969,0.278,22,1
2020,라이트,NC,4.06,16,6,4,0.6,8,84,8,37,,74,41,40,1.36,8,378,1579,0.251,14,0
2020,김민우,한화,4.17,16,2,7,0.222,8,74,10,41,,73,42,38,1.4,2,365,1493,0.237,9,0
2020,장시환,한화,4.2,15,3,6,0.333,7,78,8,44,,84,39,37,1.54,7,355,1447,0.257,13,1
2020,켈리,LG,4.25,16,5,6,0.455,9,104,8,23,,76,47,45,1.33,10,403,1472,0.281,21,0
2020,쿠에바스,KT,4.31,14,5,4,0.556,7,70,8,26,,62,38,38,1.21,6,332,1312,0.239,12,1
2020,박종훈,SK,4.78,16,6,6,0.5,8,82,7,39,,83,49,46,1.4,6,373,1554,0.252,9,2
2020,유희관,두산,5.06,17,7,6,0.538,9,125,10,29,,34,59,51,1.7,7,414,1580,0.331,24,3
2020,박세웅,롯데,5.08,15,5,5,0.5,7,90,12,28,,60,48,44,1.51,4,350,1333,0.288,15,0
2020,최원태,키움,5.09,16,6,4,0.6,8,92,13,23,,56,55,49,1.33,8,375,1360,0.269,12,0
2020,서폴드,한화,5.12,17,5,9,0.357,1,131,8,18,,59,69,58,1.46,9,454,1668,0.312,22,3
2020,이영하,두산,5.24,16,3,6,0.333,8,111,5,46,,57,61,52,1.76,7,422,1572,0.305,19,1
2020,양현종,KIA,5.62,17,7,6,0.538,8,103,11,30,,77,59,56,1.48,8,396,1554,0.289,25,3
2020,한현희,키움,5.63,16,6,5,0.545,8,101,6,22,,67,56,54,1.42,6,385,1426,0.29,13,1
2020,핀토,SK,5.66,17,4,8,0.333,9,120,5,52,,50,67,57,1.9,7,442,1667,0.318,23,1
